Fundamentals of Power Electronics,978-0-306-48048-5
Fundamentals of Clinical Trials,978-3-319-18539-2
The Finite Volume Method in Computational Fluid Dynamics,978-3-319-16874-6
The ASCRS Textbook of Colon and Rectal Surgery,978-3-319-25970-3
Applied Predictive Modeling,978-1-4614-6849-3
Introduction to Logic Circuits & Logic Design with VHDL,978-3-319-34195-8
Sustainability Science,978-94-017-7242-6
Physical Chemistry from a Different Angle,978-3-319-15666-8
The Physics of Semiconductors,978-3-319-23880-7
Energy Harvesting and Energy Efficiency,978-3-319-49875-1
Python For ArcGIS,978-3-319-18398-5
Statics and Mechanics of Structures,978-94-007-6113-1
Real Analysis,978-1-4939-2766-1
MATLAB for Psychologists,978-1-4614-2197-9
Physical Asset Management,978-3-319-14777-2
Essentials of Food Science,978-1-4614-9138-5
Quantum Mechanics,978-1-4612-1272-0
Probability Theory,978-1-4471-5361-0
Concise Guide to Databases,978-1-4471-5601-7
Digital Image Processing,978-1-4471-6684-9
Chemical and Bioprocess Engineering,978-1-4614-9126-2
Transmission Electron Microscopy,978-1-4757-2519-3
Guide to Computer Network Security,978-3-319-55606-2
Introduction to Law,978-3-319-57252-9
Advanced Quantum Mechanics,978-3-319-25675-7
Bayesian Essentials with R,978-1-4614-8687-9
"Robotics, Vision and Control",978-3-642-20144-8
Applied Chemistry,978-1-4614-4262-2
Advanced Organic Chemistry,978-0-387-44899-2
Advanced Organic Chemistry,978-0-387-71481-3
International Humanitarian Action,978-3-319-14454-2
Breast Cancer,978-3-319-48848-6
"Travel Marketing, Tourism Economics and the Airline Product",978-3-319-49849-2
Electronic Commerce 2018,978-3-319-58715-8
Disability and Vocational Rehabilitation in Rural Settings,978-3-319-64786-9
Teaching Medicine and Medical Ethics Using Popular Culture,978-3-319-65451-5
Market Research,978-981-10-5218-7
Scanning Electron Microscopy and X-Ray Microanalysis,978-1-4939-6676-9
ArcGIS for Environmental and Water Issues,978-3-319-61158-7
Physics from Symmetry,978-3-319-66631-0
Communication and Bioethics at the End of Life,978-3-319-70920-8
Foundations of Programming Languages,978-3-319-70790-7
Problems in Classical Electromagnetism,978-3-319-63133-2
Polymer Chemistry,978-3-662-49279-6
Probability and Statistics for Computer Science,978-3-319-64410-3
Empathetic Space on Screen,978-3-319-66772-0
Political Social Work,978-3-319-68588-5
Introductory Quantum Mechanics,978-3-319-68598-4
Guide to Competitive Programming,978-3-319-72547-5
Introduction to Artificial Intelligence,978-3-319-58487-4
Bioinformatics for Evolutionary Biologists,978-3-319-67395-0
"Concepts, Methods and Practical Applications in Applied Demography",978-3-319-65439-3
Introduction to Deep Learning,978-3-319-73004-2
Energy and the Wealth of Nations,978-3-319-66219-0
"A Beginner's Guide to Scala, Object Orientation and Functional Program",978-3-319-75771-1
Lessons on Synthetic Bioarchitectures,978-3-319-73123-0
Managing Sustainable Business,978-94-024-1144-7
Engineering Mechanics 2,978-3-662-56272-7
Fundamentals of Business Process Management,978-3-662-56509-4
Clinical Methods in Medical Family Therapy,978-3-319-68834-3
Guide to Scientific Computing in C++,978-3-319-73132-2
Motivation and Action,978-3-319-65094-4
Perspectives on Elderly Crime and Victimization,978-3-319-72682-3
Knowledge Management,978-3-319-59978-6
An Introduction to Zooarchaeology,978-3-319-65682-3
Abstract Algebra,978-3-319-77649-1
Criminal Justice and Mental Health,978-3-319-76442-9
Philosophy of Race,978-3-319-78729-9
"Of Cigarettes, High Heels, and Other Interesting Things",978-1-349-95348-6
Applied Bioinformatics,978-3-319-68301-0
Linear Algebra and Analytic Geometry for Physical Sciences,978-3-319-78361-1
Building Energy Modeling with OpenStudio,978-3-319-77809-9
Customer Relationship Management,978-3-662-55381-7
The A-Z of the PhD Trajectory,978-3-319-77425-1
Strategic Human Resource Management and Employment Relations,978-981-13-0399-9
Applied Linear Algebra,978-3-319-91041-3
Witnessing Torture,978-3-319-74965-5
Proofs from THE BOOK,978-3-662-57265-8
Introduction to General Relativity,978-981-13-1090-4
Introduction to Particle and Astroparticle Physics,978-3-319-78181-5
Fundamentals of Java Programming,978-3-319-89491-1
Optimization of Process Flowsheets through Metaheuristic Techniques,978-3-319-91722-1
Robotics,978-3-319-72911-4
Business Ethics - A Philosophical and Behavioral Approach,978-3-319-91575-3
A First Introduction to Quantum Physics,978-3-319-92207-2
Argumentation Theory: A Pragma-Dialectical Perspective,978-3-319-95381-6
Logical Foundations of Cyber-Physical Systems,978-3-319-63588-0
Off-Grid Electrical Systems in Developing Countries,978-3-319-91890-7
Entertainment Science,978-3-319-89292-4
Physics of Oscillations and Waves,978-3-319-72314-3
Introduction to Programming with Fortran,978-3-319-75502-1
Fundamentals of Solid State Engineering,978-3-319-75708-7
Introduction to Digital Systems Design,978-3-319-92804-3
Neural Networks and Deep Learning,978-3-319-94463-0
Data Science and Predictive Analytics,978-3-319-72347-1
Systems Programming in Unix/Linux,978-3-319-92429-8
Analytical Corporate Finance,978-3-319-95762-3
Fraud and Corruption,978-3-319-92333-8
Conferencing and Presentation English for Young Academics,978-981-13-2475-8
A Concise Guide to Market Research,978-3-662-56707-4
Global Supply Chain and Operations Management,978-3-319-94313-8
Introduction to Parallel Computing,978-3-319-98833-7
Mathematical Logic,978-3-319-97298-5
Stability and Control of Linear Systems,978-3-030-02405-5
Introduction to Formal Philosophy,978-3-319-77434-3
Analysis for Computer Scientists,978-3-319-91155-7
International Business Management,978-3-319-96622-9
Research Methods for the Digital Humanities,978-3-319-96713-4
Introductory Computer Forensics,978-3-030-00581-8
Control Engineering,978-981-10-8297-9
Control Engineering: MATLAB Exercises,978-981-10-8321-1
"ENZYMES: Catalysis, Kinetics and Mechanisms",978-981-13-0785-0
Automatic Control with Experiments,978-3-319-75804-6
Internet of Things From Hype to Reality,978-3-319-99516-8
Quantitative Methods for the Social Sciences,978-3-319-99118-4
A Pythagorean Introduction to Number Theory,978-3-030-02604-2
Philosophical and Mathematical Logic,978-3-030-03255-5
Structural Dynamics,978-3-319-94743-3
"Plant Physiology, Development and Metabolism",978-981-13-2023-1
Quantum Mechanics for Pedestrians 1,978-3-030-00464-4
Plant Anatomy,978-3-319-77315-5
Quantum Mechanics for Pedestrians 2,978-3-030-00467-5
Excel Data Analysis,978-3-030-01279-3
Quick Start Guide to VHDL,978-3-030-04516-6
Java in Two Semesters,978-3-319-99420-8
Managing Media and Digital Organizations,978-3-319-71288-8
Media and Digital Management,978-3-319-72000-5
"An Anthology of London in Literature, 1558-1914",978-3-030-05609-4
Astronautics,978-3-319-74373-8
Perceptual Organization,978-3-319-96337-2
Research Methods for Social Justice and Equity in Education,978-3-030-05900-2
Educational Technology,978-981-13-6643-7
Quick Start Guide to Verilog,978-3-030-10552-5
Spine Surgery,978-3-319-98875-7
Introduction to Logic Circuits & Logic Design with VHDL,978-3-030-12489-2
Social Justice Theory and Practice for Social Work,978-981-13-3621-8
School Leadership and Educational Change in Singapore,978-3-319-74746-0
Digital Business Models,978-3-030-13005-3
Introduction to Logic Circuits & Logic Design with Verilog,978-3-030-13605-5
Pharmaceutical Biotechnology,978-3-030-00710-2
Mapping Global Theatre Histories,978-3-030-12727-5
Social Marketing in Action,978-3-030-13020-6
Analyzing Qualitative Data with MAXQDA,978-3-030-15671-8
Handbook of Evolutionary Research in Archaeology,978-3-030-11117-5
Evidence-Based Practice in Clinical Social Work,978-3-030-15224-6
Foundations of Behavioral Health,978-3-030-18435-3
Social Psychology in Action,978-3-030-13788-5
Essentials of Business Analytics,978-3-319-68837-4
A Course in Rasch Measurement Theory,978-981-13-7496-8
Multimedia Big Data Computing for IoT Applications,978-981-13-8759-3
Policing and Minority Communities,978-3-030-19182-5
A Beginners Guide to Python 3 Programming,978-3-030-20290-3
Advanced Guide to Python 3 Programming,978-3-030-25943-3
Literature and Medicine,978-3-030-19128-3
Food Fraud Prevention,978-1-4939-9621-6
